, Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
0,0.7213416419221279,0.4176874503039963,0.16504291238441007,0.015627167941209236,0.013382186556334875,0.11368056542561855,0.29498574365899805,0.06388987265127309,0
1,0.5176278700179834,0.46090840961643376,0.23541516392945036,0.01826776354220743,0.006559968830055389,0.07252430110627058,0.36401483387955863,0.10844338749328611,0
2,0.5203462841370081,0.1968683163412594,0.22113842423544097,0.04067688835643535,0.013030023751041665,0.13918842885084282,0.2886238695378068,0.05461030710273595,0
3,0.7009326251516038,0.43788377291585645,0.18174958564240293,0.016534405695854373,0.015367785346512293,0.13158336518386698,0.26634831631134737,0.046581449953162574,0
4,0.44385429300322027,0.2148474038178303,0.24904418933273556,0.04171170926282144,0.004327106796658966,0.039684485898337576,0.4620289782542065,0.21336883109971758,0
5,0.46978378152314837,0.2962707662536617,0.2421102997738746,0.03159960302940132,0.00637639460090624,0.06947340496819053,0.3652160739150607,0.1117966977206334,0
6,0.6085065451047635,0.32419987311148085,0.19179176796892322,0.02403253840035334,0.003521628043970678,0.018486948737903762,0.5930473818735873,0.40380762945782606,0
7,0.6668478942746017,0.20365695876593728,0.17270953530544172,0.031210716137182543,0.004514427436819032,0.06786470787284066,0.4426517491650068,0.1678266183896139,0
8,0.5430136757141065,0.376384476066331,0.23414523413164806,0.02807461561542402,0.009493410058546608,0.0689096387497493,0.32220168754812384,0.09216389445089292,0
9,0.5430554974697838,0.19896054037776478,0.23547185339869564,0.04227521556390526,0.017323412830679535,0.1705207955345114,0.2796336881659984,0.050094572473735985,0
10,0.7294550625235248,0.2772179280405662,0.15642024610371352,0.029700018713945585,0.02313409910009466,0.2095390012927882,0.24457941098804242,0.03336890974203513,0
11,0.6822383003638492,0.2606001619046201,0.1804781380778147,0.02728790626571791,0.0063576625368902346,0.0449045575207054,0.4010533878479633,0.16556923449567207,0
12,0.6913554431015014,0.3348646581729841,0.17502403423421795,0.024486056502936872,0.046972523783891475,0.32895348525814316,0.1866605405622183,0.013502499110065591,0
13,0.6002676592363347,0.280170419116303,0.22135049923955177,0.035101192075582245,0.011752496982461582,0.15249003923091975,0.3206678794733048,0.07079139828152378,0
14,0.7085860064405504,0.3614859287255313,0.1854258399130881,0.026306923407002275,0.027408756115716523,0.23439041073777364,0.22015404910557757,0.023571507764795194,0
15,0.5811132951361299,0.3671777249899059,0.1791268739783177,0.021517047051328807,0.01131416668359088,0.09510302595574739,0.3235182793677191,0.08264099947331417,0
16,0.5558111329513613,0.3276129738644282,0.20246747610609536,0.021964646735828208,0.005803193442912578,0.04553489100567555,0.43809934751071294,0.18895187523325205,0
17,0.5087616578143951,0.36444562845646267,0.22822788091822444,0.025476547083067028,0.011774975461969215,0.13813401484103144,0.3036565977222199,0.061661955365702854,0
18,0.6974195976747104,0.3637360055420834,0.18401248210922097,0.021748366018275657,0.04090708146715836,0.29752530507973335,0.19864341259537155,0.01731014937984612,0
19,0.5008155242357074,0.22700812191407158,0.34419553681714327,0.0850721650512356,0.12251144529076877,0.5262675296059456,0.14193745636496535,0.004727376887835524,1
20,0.5089707665927816,0.3664302124844481,0.2517208129377657,0.025258256980027906,0.016446752232938136,0.1517823630283065,0.26785229873777305,0.04547981983387942,0
